error,correct_response,graph_prediction,graph_accuracy,chatgpt_prediction,chatgpt_section,chatgpt_accuracy
/bin/ls: cannot access 'RNA_SEQ_SAMPLES': No such file or directory,/usr/bin/which,/usr/bin/which,1,ls,Linux: case matters,0
"/home/jovyan/.offline.sh: eval: line 354: unexpected EOF while looking for matching ``'
/home/jovyan/.offline.sh: eval: line 355: syntax error: unexpected end of file",cd,cd,1,ls,ls command,0
"/home/jovyan/.offline.sh: eval: line 368: unexpected EOF while looking for matching `""'
/home/jovyan/.offline.sh: eval: line 369: syntax error: unexpected end of file",echo,echo,1,ls,ls command,0
/home/jovyan/.offline.sh: line 354: cd: ...: No such file or directory,cd,cd,1,ls,ls command,0
/home/jovyan/.offline.sh: line 354: cd: ./../Drug_a: No such file or directory,cd,cd,1,cd,Change to child and parent directory,1
/home/jovyan/.offline.sh: line 354: cd: /home/jovyan/data/input/Bash: No such file or directory,ls,ls,1,ls -a,ls command,0
/home/jovyan/.offline.sh: line 354: cd: Bash: No such file or directory,cd,cd,1,cd,"""Change to child and parent directory""",1
/home/jovyan/.offline.sh: line 354: cd: RNA_SEQ_SAMPLES: No such file or directory,pwd,pwd,1,ls,ls command,0
/home/jovyan/.offline.sh: line 354: cd: StatParam: No such file or directory,ls,ls,1,ls,ls command,1
/home/jovyan/.offline.sh: line 354: cd: data-store/data/input/RNA_SEQ_SAMPLES/: No such file or directory,ls,ls,1,cat,I/O redirection vs file arguments,0
/home/jovyan/.offline.sh: line 354: cd: gunings: No such file or directory,ls,ls,1,cat,Star expansion,0
/home/jovyan/.offline.sh: line 354: cd: i: No such file or directory,cd,cd,1,ls,File attributes and long listing,0
/home/jovyan/.offline.sh: line 354: cd: misc_child/: Not a directory,ls,ls,1,ln,Linking files,0
/home/jovyan/.offline.sh: line 354: cd: misc_child: Not a directory,ls,ls,1,cp,"Copying moving, linking directories",0
/home/jovyan/.offline.sh: line 354: cd: ms: No such file or directory,cd,cd,1,cd,ls command,1
/home/jovyan/.offline.sh: line 354: cd: ou: No such file or directory,cd,cd,1,rm,Linking files,0
/home/jovyan/.offline.sh: line 354: cd: put: No such file or directory,cd,cd,1,cd,"""Linking discovery TSV files in Bash""",1
/home/jovyan/.offline.sh: line 354: cd: pwd: No such file or directory,which,which,1,ls,Many ways to specify directories,0
/home/jovyan/.offline.sh: line 354: cd: too many arguments,cd,cd,1,cd,Change to child and parent directory,1
/home/jovyan/.offline.sh: line 354: cd: work: No such file or directory,ls,ls,1,cd,Change to child and parent directory,0
/home/jovyan/.offline.sh: line 354: cd: xiaomajur: No such file or directory,ls,ls,1,cd,(cat) displaying files,0
/home/jovyan/.offline.sh: line 368: -l: command not found,ls,ls,1,cat,(cat) displaying files,0
/home/jovyan/.offline.sh: line 368: /home/jovyan/data-store/data/input/Discovery/TSVFiles/A1_abundance.tsv: Permission denied,ls,ls,1,cat,Star expansion,0
/home/jovyan/.offline.sh: line 368: /home/jovyan/data-store/data/input/RNA_SEQ_SAMPLES: Is a directory,ls,ls,1,Command type: mv,Change to arbitrary and home directory,0
/home/jovyan/.offline.sh: line 368: Discovery: command not found,ls,ls,1,rm,Linking files,0
/home/jovyan/.offline.sh: line 368: exut: command not found,exut,exut,1,cp,"Copying moving, linking directories",0
/home/jovyan/.offline.sh: line 368: linked_hello.txt: command not found,cat,cat,1,Command,ls command,0
/home/jovyan/.offline.sh: line 368: ls..: command not found,ls,ls,1,ls,Recursion and -R/-r option,1
/home/jovyan/.offline.sh: line 368: lx: command not found,ls,ls,1,cd,Change to child and parent directory,0
/home/jovyan/.offline.sh: line 368: misc_child/1: No such file or directory,cd,cd,1,ls,Change to arbitrary and home directory,0
/home/jovyan/.offline.sh: line 368: misc_child/echo_output.txt: No such file or directory,ls,ls,1,ls,Change to child and parent directory,1
/home/jovyan/.offline.sh: line 368: move: command not found,mv,mv,1,echo,Output redirection,0
/home/jovyan/.offline.sh: line 368: piso: command not found,ls,ls,1,find ./ -type f -exec cat {} \;,Star expansion,0
/home/jovyan/.offline.sh: line 368: sl: command not found,ls,ls,1,ls misc_child,(cat) displaying files,0
/home/jovyan/.offline.sh: line 368: wpd: command not found,pwd,pwd,1,mkdir,"""Change to child and parent directory""",0
cat: /home/jovyan/data-store/data/output/misc/misc_child: Is a directory,cat,cat,1,ls,Change to child and parent directory,0
cat: cat: No such file or directory,ls,ls,1,ls,"""Change to child and parent directory""",1
cat: echo.out: No such file or directory,cat,cat,1,cd,Change to child and parent directory,0
cat: hello.txt: No such file or directory,ls,ls,1,mkdir,Change to child and parent directory,0
cat: hello.txt: Too many levels of symbolic links,ls,ls,1,ln,Linking files,0
